% Model:              2022_CV_No_Electrochem.mph
% Version:            COMSOL 6.0.0.405
% Date:               Sep 14 2022, 14:09
% Dimension:          1
% Nodes:              241
% Expressions:        10
% Description:        Global
% -E_time (V)             Value                    Value                    Value                    Value                    Value                    Value                    Value                    Value                    Value                    Value
0.07                      1.6398669516445408E-5    1.6408424942497934E-5    1.6421654037030417E-5    1.65275491502766E-5      1.661559070924155E-5     1.567437662955455E-5     1.3301678084148093E-5    5.1425809820741395E-6    2.8639455363760507E-6    6.280365820140041E-7
0.07500000000000001       1.593831916621824E-5     1.5952012365829212E-5    1.596998947882312E-5     1.6114495968711377E-5    1.6256811123372554E-5    1.5793154948494956E-5    1.3740916623101037E-5    5.5618522378735065E-6    3.1252787318304095E-6    6.907778336943624E-7
0.07999999999999996       1.5478828647342963E-5    1.5495491933989786E-5    1.551702543398873E-5     1.5690502261442446E-5    1.587495239966312E-5     1.5837910830979244E-5    1.4125178644983195E-5    6.003078417366279E-6     3.406626812715243E-6     7.59601748412106E-7
0.08499999999999996       1.5027416512250004E-5    1.5046240563229779E-5    1.5070335907499468E-5    1.5264648242385296E-5    1.548060799387504E-5     1.5814596709931817E-5    1.445022205378557E-5     6.465259549065446E-6     3.7088050631452172E-6    8.350613308958176E-7
0.09000000000000002       1.4589256924707557E-5    1.4609578654463679E-5    1.4635423309643807E-5    1.4843874189668569E-5    1.508231757297699E-5     1.573043894597632E-5     1.4713244941664317E-5    6.946931814314841E-6     4.03251115794244E-6      9.177520701305137E-7
0.09499999999999997       1.4167856570430893E-5    1.4189142233212473E-5    1.4216084490602771E-5    1.4433277519652587E-5    1.468672995011802E-5     1.5593473370595863E-5    1.4912999327841094E-5    7.446298454091703E-6     4.378287801134606E-6     1.00831349877105E-6
0.09999999999999998       1.3765402246858417E-5    1.3787228969900825E-5    1.3814754737893133E-5    1.4036425346352589E-5    1.4298834192306558E-5    1.5412090785684943E-5    1.504982039276307E-5     7.960606287849598E-6     4.746480680781827E-6     1.1074303890824203E-6
0.10499999999999998       1.3383064513546774E-5    1.3405102253911079E-5    1.3432812377230176E-5    1.3655652774578366E-5    1.3922216905399307E-5    1.5193870766228027E-5    1.512556699270685E-5     8.486713583161073E-6     5.137192059083129E-6     1.2158334595731264E-6
0.10999999999999999       1.3021252676472833E-5    1.3043247707701485E-5    1.3070837229887639E-5    1.3292330294510673E-5    1.3559316895073198E-5    1.494902883312129E-5     1.5143477899158944E-5    9.020978513297768E-6     5.5502306524659855E-6    1.3342994417969765E-6
0.11499999999999999       1.2679822419637868E-5    1.2701582851914892E-5    1.2728822864993577E-5    1.2947093038397824E-5    1.321165967570505E-5     1.468254517273835E-5     1.5107956649343648E-5    9.559110782727397E-6     5.985058874477529E-6     1.4636503291404544E-6
