% Model:              2022_CV_No_Electrochem.mph
% Version:            COMSOL 6.0.0.405
% Date:               Sep 14 2022, 13:55
% Dimension:          1
% Nodes:              121
% Expressions:        10
% Description:        Global
% -E_time (V)             Value                    Value                    Value                    Value                    Value                    Value                    Value                    Value                    Value                    Value
0.24999999999999994       1.2911094279892555E-5    1.2935679895598452E-5    1.29659493343041E-5      1.3196090010104232E-5    1.3463625021696985E-5    1.5122193954724711E-5    1.6588671786071322E-5    2.213192775894679E-5     2.3564149562776335E-5    1.4024026983964018E-5
0.25999999999999995       1.2655050556581104E-5    1.2678038013299424E-5    1.2706331263238144E-5    1.2921082604127901E-5    1.3170426678503679E-5    1.4705640373849777E-5    1.6056268837028177E-5    2.140162425170807E-5     2.3432085138464067E-5    1.574630197386464E-5
0.26999999999999996       1.241468580408452E-5     1.2436219851425779E-5    1.2462716481250392E-5    1.2663698290409354E-5    1.2896831330188311E-5    1.4320802566170545E-5    1.5565965118859286E-5    2.0633221389922535E-5    2.305083895986733E-5     1.745399442475997E-5
0.2800000000000001        1.2188466912712059E-5    1.220868220034634E-5     1.2233549203863657E-5    1.2422148350652103E-5    1.2640444982838458E-5    1.3964390400597652E-5    1.5114131493313235E-5    1.9863128631537038E-5    2.2484777733054716E-5    1.907581774518924E-5
0.29                      1.1974990019473065E-5    1.1994005032181144E-5    1.2017389254623689E-5    1.219466707891733E-5     1.2399381688915828E-5    1.3633457290927692E-5    1.4697172426730185E-5    1.9115537977024764E-5    2.1798281138317704E-5    2.0534939373254964E-5
0.3                       1.177304901356765E-5     1.1790968424201944E-5    1.1812999521549388E-5    1.1979900070716852E-5    1.2172301734542037E-5    1.3325385006778862E-5    1.4311678419522278E-5    1.8404836000151204E-5    2.104750354417237E-5     2.1757926628356994E-5
0.29                      1.1580810328408919E-5    1.1597016321871132E-5    1.1616919433563522E-5    1.1766099546842805E-5    1.1937300436855347E-5    1.2934269994800866E-5    1.3743308972837851E-5    1.6665345520354133E-5    1.8266472882518402E-5    1.7807455485556608E-5
0.2800000000000001        1.1398239861144323E-5    1.141292531668538E-5     1.14309413267714E-5      1.1567748120158141E-5    1.1723434769531081E-5    1.2612003823569906E-5    1.330434247408309E-5     1.5481110204987415E-5    1.6462749352543564E-5    1.4910078408112854E-5
0.26999999999999996       1.1224744497663734E-5    1.1238346883632648E-5    1.125502316278779E-5     1.1380622738917122E-5    1.1523216893855733E-5    1.231989869205385E-5     1.2918415501077992E-5    1.4558248174128914E-5    1.5036451613712221E-5    1.267166433208413E-5
0.25999999999999995       1.1059088743535405E-5    1.1071636560566873E-5    1.1087008477644904E-5    1.1201477155009101E-5    1.1331112953269573E-5    1.2039504758370153E-5    1.254796164999432E-5     1.3699293977690534E-5    1.3778375789437356E-5    1.083917455653558E-5
0.25000000000000006       1.0900408428781578E-5    1.0911797018108066E-5    1.0925733482535811E-5    1.102942005954607E-5     1.1146106639082769E-5    1.1769453479674732E-5    1.2190873269335793E-5    1.2887543996798712E-5    1.2637259557001766E-5    9.302389265747569E-6
0.23999999999999994       1.0748126205887427E-5    1.0758361655163815E-5    1.0770870739456294E-5    1.0863907237197625E-5    1.0967839889021082E-5    1.1506581002403369E-5    1.1842100420252998E-5    1.2109008464352429E-5    1.1578973415243504E-5    7.991989030403633E-6
0.22999999999999993       1.0601525939505886E-5    1.0610622962626844E-5    1.0621724247210058E-5    1.070383476009796E-5     1.0794890783739992E-5    1.1247153375990639E-5    1.14955847230271E-5      1.1350907819533309E-5    1.0584122153063498E-5    6.863449143777013E-6
0.22000000000000003       1.0459736709608337E-5    1.046763615240253E-5     1.0477257656874121E-5    1.0547932384478236E-5    1.062557585836972E-5     1.0988123797721962E-5    1.1146825385133033E-5    1.0606582780423101E-5    9.64236741533542E-6      5.886755127824691E-6
0.21000000000000002       1.0321805551487723E-5    1.0328409797137954E-5    1.0336432624258445E-5    1.0394970289173397E-5    1.0458413109990303E-5    1.0726676033636117E-5    1.079220350713109E-5     9.873175033073725E-6     8.748872358446115E-6     5.039858391405096E-6
0.20000000000000012       1.0186597477440854E-5    1.0191795274642762E-5    1.0198085198157131E-5    1.0243536728000064E-5    1.02917769569293E-5      1.0459706291584233E-5    1.042768197500666E-5     9.14942885348549E-6      7.902115525410772E-6     4.3055202781504E-6
0.19                      1.0052626592072754E-5    1.0056277590078946E-5    1.0060666395808947E-5    1.0091817333561072E-5    1.0123586954785786E-5    1.0183820862732436E-5    1.0051016996919504E-5    8.436694417965837E-6     7.1024213684301195E-6    3.6695616223297646E-6
0.18                      9.917882944861503E-6     9.919806156794387E-6     9.922078109142917E-6     9.937455349240054E-6     9.951204112026958E-6     9.895013196782227E-6     9.656967237457644E-6     7.73806652618052E-6      6.35096798922092E-6      3.1198738084805127E-6
0.16999999999999993       9.779588659755917E-6     9.779564699803303E-6     9.77946052562848E-6      9.777335545194599E-6     9.771256921392019E-6     9.590506234650912E-6     9.244213107395859E-6     7.056115914812667E-6     5.649103141016833E-6     2.645864747518287E-6
0.15999999999999998       9.633820370250585E-6     9.63159434794769E-6      9.628816372663304E-6     9.606804588793246E-6     9.578862450338714E-6     9.264888492053129E-6     8.809524381342556E-6     6.396084835917706E-6     4.9978790843632975E-6    2.2381412924435103E-6
0.14999999999999997       9.474398703924222E-6     9.469680453965501E-6     9.463895484702843E-6     9.421270419214997E-6     9.369413551645258E-6     8.913362976622269E-6     8.35076468808207E-6      5.761025013441493E-6     4.397760194256181E-6     1.8883205427445269E-6
0.14                      9.294861637515558E-6     9.287354703430803E-6     9.27822974528697E-6      9.211604379019665E-6     9.133779442188918E-6     8.530651621237723E-6     7.86643198795422E-6      5.154986697981799E-6     3.848470240222549E-6     1.5889105062886656E-6
0.13000000000000006       9.08222367147881E-6      9.071634001879255E-6     9.058851559382578E-6     8.966606073889116E-6     8.861220547127072E-6     8.110789190684506E-6     7.35546670348259E-6      4.581139941765051E-6     3.3489494080310805E-6    1.3332263726093544E-6
0.12                      8.819833550289042E-6     8.805941216462199E-6     8.78928850488535E-6      8.670632353583216E-6     8.537213594611261E-6     7.647171847544512E-6     6.817308074788477E-6     4.04170884382406E-6      2.8973922025426206E-6    1.1153237666852932E-6
0.10999999999999999       8.48374150914415E-6      8.466516369825379E-6     8.446027598783551E-6     8.30191741416678E-6      8.142169874811123E-6     7.132519983387827E-6     6.25124293495814E-6      3.5379665807432745E-6    2.491339075576783E-6     9.304177608162057E-7
0.10000000000000003       8.039821640278993E-6     8.019621384050558E-6     7.995817167168644E-6     7.83077464283777E-6      7.650256083078668E-6     6.5588478556833475E-6    5.6578169668679455E-6    3.070183614748115E-6     2.127797771208612E-6     7.725292142263684E-7
0.09000000000000008       7.440582547573578E-6     7.418483621733895E-6     7.392765075495863E-6     7.217526335583608E-6     7.028143263426764E-6     5.91747158650397E-6      5.036511714138879E-6     2.6376481064958452E-6    1.8036832303731599E-6    6.390189865924627E-7
0.07999999999999996       6.621724684972152E-6     6.600038593442782E-6     6.575293958723982E-6     6.410747221897607E-6     6.234194643062424E-6     5.199078353838975E-6     4.38664286362342E-6      2.2388862800541106E-6    1.5148875061138373E-6    5.257780557778139E-7
0.07                      5.499907708222574E-6     5.48291148568113E-6      5.464362361172181E-6     5.346824780262242E-6     5.218809402937089E-6     4.3938984367520766E-6    3.7071725984515746E-6    1.871347201409276E-6     1.2575492958212967E-6    4.2943434059750246E-7
0.06000000000000005       3.974538151991471E-6     3.96934387560462E-6      3.965534430743828E-6     3.952588144552548E-6     3.927005964243777E-6     3.492037220168119E-6     2.9961142168937916E-6    1.5318259965502726E-6    1.027916130045372E-6     3.4750032620843927E-7
0.0500000000000001        1.938486655447797E-6     1.9557120349167404E-6    1.9792418382790452E-6    2.1536016088309426E-6    2.3046607653250345E-6    2.484038033881534E-6     2.2500955042524917E-6    1.21662996326853E-6      8.22106789355234E-7      2.777455942600059E-7
0.04000000000000015       -6.956493775641567E-7    -6.422120868651201E-7    -5.751325193590668E-7    -1.0898680434217889E-7   3.0976406686487566E-7    1.3617551580370577E-6    1.4656947924584707E-6    9.215874495172194E-7     6.36219403860777E-7      2.1809481521758332E-7
0.029999999999999916      -3.949064309403241E-6    -3.845050068438435E-6    -3.717646750246264E-6    -2.851663148444553E-6    -2.0708982348161015E-6   1.196119226125669E-7     6.377955659868944E-7     6.420982974768121E-7     4.664447224220965E-7     1.6675830714633298E-7
0.019999999999999907      -7.716306632877908E-6    -7.5526427974684774E-6   -7.354307988044601E-6    -6.015316606630329E-6    -4.8015912802752404E-6   -1.2437087240958443E-6   -2.390127478837878E-7    3.7321248754679276E-7    3.0905197807557467E-7    1.2221373149816296E-7
0.009999999999999953      -1.172032286820879E-5    -1.1501003969335584E-5   -1.1236250971166016E-5   -9.437781726460654E-6    -7.779840062656283E-6    -2.7231567721090876E-6   -1.170004814410859E-6    1.0967575914732553E-7    1.6034808315599352E-7    8.311937969044898E-8
0                         -1.5528271820433286E-5   -1.5275408438726622E-5   -1.4969831543566692E-5   -1.285148583860759E-5    -1.0830276369321103E-5   -4.3049132104148356E-6   -2.1595447969531976E-6   -1.540537728456846E-7    1.6654411098275757E-8    4.8273232914847596E-8
-0.009999999999999953     -1.866310548049891E-5    -1.8412676947846987E-5   -1.8108517389019374E-5   -1.5923993094512803E-5   -1.3719883778296997E-5   -5.96407294310053E-6     -3.20992738044581E-6     -4.2379368317548784E-7   -1.2572359014972175E-7   1.6595657628559614E-8
-0.020000000000000073     -2.0770018783944096E-5   -2.05582954553422E-5     -2.029912374793216E-5    -1.8340241157020044E-5   -1.6198813370039757E-5   -7.662706911264879E-6    -4.319949222421051E-6    -7.056199038741077E-7    -2.705425852269801E-7    -1.289830354279354E-8
-0.030000000000000027     -2.1737546567503478E-5   -2.158694207238694E-5    -2.1400848597735648E-5   -1.9894148898474537E-5   -1.8057416889194136E-5   -9.3492711913868E-6      -5.483391464271932E-6    -1.0064656839474016E-6   -4.2167106481040935E-7   -4.113115042319956E-8
-0.03999999999999998      -2.1697304220147503E-5   -2.1611349427446976E-5   -2.1504032967342567E-5   -2.0543653924611834E-5   -1.9178730487188406E-5   -1.0960136892821143E-5   -6.688217605803936E-6    -1.331628376404745E-6    -5.831340545280149E-7    -6.899009237414202E-8
-0.04999999999999993      -2.0922869260571056E-5   -2.08912190100981E-5     -2.0851059546637397E-5   -2.0401565665355563E-5   -1.9563207417860945E-5   -1.2423906422303795E-5   -7.909555465276606E-6    -1.6880336984685524E-6   -7.591489789534505E-7    -9.735143798877288E-8
-0.06000000000000005      -1.971043972502931E-5    -1.9717409318078656E-5   -1.9725526895502287E-5   -1.9674341988584568E-5   -1.9315180083775122E-5   -1.3668735262590394E-5   -9.119970902363462E-6    -2.08212729526204E-6     -9.545883120351124E-7    -1.2710556577858565E-7
-0.07                     -1.8302834360610657E-5   -1.8333671304780338E-5   -1.8371829448048454E-5   -1.8587758600768052E-5   -1.8600364235014804E-5   -1.463207274508908E-5    -1.0279401385099409E-5   -2.5197797629612406E-6   -1.172925870148646E-6    -1.5918223983635427E-7
-0.07999999999999999      -1.6865774743006177E-5   -1.690927025951724E-5    -1.6963417664124748E-5   -1.7333620724029432E-5   -1.7596318279102915E-5   -1.5270976877658177E-5   -1.134148362946164E-5    -3.0059218793669518E-6   -1.4202356809953823E-6   -1.945755788900495E-7
-0.08999999999999994      -1.5496190406728808E-5   -1.554486011675693E-5    -1.560555004293815E-5    -1.6048276379396304E-5   -1.6455567187342985E-5   -1.557026146867195E-5    -1.2257428044534259E-5   -3.5439315009528845E-6   -1.700500741720772E-6    -2.3436882464168815E-7
-0.0999999999999999       -1.4241428704723246E-5   -1.429072405467487E-5    -1.4352203746788566E-5   -1.4814840256943775E-5   -1.5289070796120216E-5   -1.5545752044712028E-5   -1.2981680503862243E-5   -4.134809277593222E-6    -2.0185685886063193E-6   -2.7975888486590954E-7
-0.11000000000000013      -1.3117649491502565E-5   -1.3165037465621356E-5   -1.3224108513912515E-5   -1.3675963507240185E-5   -1.4166403952932856E-5   -1.5241143908895577E-5   -1.3478922622915525E-5   -4.776181307160233E-6    -2.3786836834904524E-6   -3.3207985336838923E-7
-0.1200000000000001       -1.2123484637603524E-5   -1.21677060209003E-5     -1.2222786871684436E-5   -1.264778584563766E-5    -1.3124514397737549E-5   -1.4719108225156427E-5   -1.3730547458991549E-5   -5.461259641269777E-6    -2.7841135906895447E-6   -3.928240811050656E-7
-0.13000000000000006      -1.1248905107657803E-5   -1.1289459487424199E-5   -1.133992972234713E-5    -1.1731002191607954E-5   -1.2178263686625663E-5   -1.4049404820445089E-5   -1.3738706154645403E-5   -6.178920844576163E-6    -3.2366476483792875E-6   -4.636586185618082E-7
-0.14000000000000004      -1.0480471268611891E-5   -1.0517286739032604E-5   -1.0563066028734682E-5   -1.0918348848807452E-5   -1.1329254227098958E-5   -1.3297671456837437E-5   -1.3526406046100879E-5   -6.907612768501298E-6    -3.7358005041049296E-6   -5.464334635992221E-7
-0.15                     -9.804199004844597E-6    -9.837430602015224E-6    -9.87872240506046E-6     -1.0199173478670184E-5   -1.0572024381454097E-5   -1.2517776608075542E-5   -1.3133286286483777E-5   -7.62554645094875E-6     -4.2779605297808354E-6   -6.431773230198727E-7
-0.1600000000000001       -9.20697783649485E-6     -9.236889045298823E-6    -9.274030683164806E-6    -9.56200111954412E-6     -9.897937475252108E-6    -1.1748739298666206E-5   -1.260822925508399E-5    -8.302109329306079E-6    -4.8561732083137634E-6   -7.562907713972717E-7
